4740629,Le Minh,Anh,Female,13/12/1993,99717,Campuchia
9512278,Nguyen Minh,Ky,Male,28/05/1963,67518,Campuchia
2203891,Quach Khanh,Duy,Male,28/11/1981,67518,Campuchia
3815870,Phan Khanh,Hung,Male,23/01/1996,46324,Campuchia
7288546,Le Nguyen Tuyet,Nhi,Male,11/01/1965,99717,Campuchia
9860878,Nguyen An,Dat,Female,17/03/1975,59645,Campuchia
6491752,Phan Luong,Huy,Female,18/10/1991,59645,Campuchia
1335477,Le,Kha,Female,30/09/1979,59645,Campuchia
8160954,Doan Vo Kieu,Lam,Female,20/04/1993,15144,Campuchia
5704270,Ta Tien,Dat,Male,08/05/1987,35001,Campuchia
5467668,Nguyen Gia,Hung,Male,03/10/2000,35001,Campuchia
9388957,Nguyen Khanh,Duy,Female,05/08/1996,50214,Campuchia
6135837,Nguyen Hoang Anh,Tu,Male,21/08/1966,67518,Campuchia
8557531,Nguyen Thanh,Tuan,Male,21/05/1986,99717,Campuchia
9250136,Nguyen Khac,Huy,Male,03/05/1994,19810,Campuchia
4701981,Nguyen Gia,My,Male,11/07/1981,50214,Campuchia
9840220,Pham Hoang Minh,Nhat,Male,01/02/1970,15144,Campuchia
1931028,Bui Anh,Phu,Female,14/04/1993,50214,Campuchia
4128509,Khuu Thi Huynh,Yen,Male,13/01/1971,15144,Campuchia
4034563,Truong Cong,Thanh,Female,16/08/1984,50214,Campuchia
1266743,Nguyen Tri,Thuc,Female,18/12/1978,35001,Campuchia
6509405,Le Toan,Hien,Male,12/09/1995,43794,Campuchia
5916844,Nguyen Huu,Tinh,Male,07/11/1961,43794,Campuchia
9611998,Nguyen Khoa,Tai,Female,02/08/1992,59645,Campuchia
6475628,Nguyen Thanh Hong,Duc,Female,20/09/1983,59645,Campuchia
5658599,Pham Trung,Hau,Female,28/01/1982,15144,Campuchia
5981733,Le Gia,Huy,Male,24/06/1976,50214,Campuchia
3442424,Vo Minh,Nhan,Female,27/12/1996,43794,Campuchia
5950108,Tran Tan,Thanh,Male,16/07/1977,19810,Campuchia
5825378,Pham Duc Minh,Hieu,Male,20/07/1966,35001,Campuchia
7223031,Huynh Thanh,Liem,Male,17/06/1963,19810,Campuchia
9845541,Nguyen Vo Hoai,Nam,Female,17/09/1977,67518,Campuchia
9151901,Phung Thi Thuy,Tien,Male,01/01/1993,99717,Campuchia
3020932,Phan Dang,Khoi,Male,07/02/1983,99717,Campuchia
4995999,Pham Phuc,Xuyen,Female,28/07/1974,99717,Campuchia
3086522,Pham Quang,Duc,Female,09/07/1995,46324,Campuchia
7293431,Dinh Thanh,Phuc,Male,08/10/1964,67518,Campuchia
6451935,La Duc,Thang,Female,17/07/1962,15144,Campuchia
4232474,Nguyen Thanh,Tu,Male,02/03/1996,43794,Campuchia
9088011,Vo,Luyen,Male,30/11/1997,19810,Campuchia
8782353,Tran Gia,Uu,Male,19/06/1982,67518,Campuchia
4093979,Phan Thi,Huyen,Female,11/01/1970,19810,Campuchia
7316418,Dong Thac,Nhan,Male,17/01/1964,67518,Campuchia
3854172,Pham Nhat,Tuyen,Female,04/08/1969,67518,Campuchia
6539577,Tran Tuan,An,Female,07/10/1996,43794,Campuchia
