4302430,Ngo Cong,Chinh,Female,10/08/1986,43794,Singapore
3133785,Mai Gia,Minh,Male,04/04/1966,19810,Singapore
9053076,Lam Nguyen Anh,Thy,Male,11/12/1997,46324,Singapore
5927231,Mai Thanh,Binh,Male,07/10/1990,46324,Singapore
2747232,Dinh Pham Anh,Tuan,Female,21/05/1991,19810,Singapore
7889572,Nguyen Nhat,Nam,Female,10/06/1960,19810,Singapore
5127478,Pham Duc,Thien,Female,27/02/1996,35001,Singapore
6836490,Nguyen Tran Truong,Tu,Male,06/02/1988,46324,Singapore
2910286,Tran Ton Quang,Vu,Female,02/08/1984,15144,Singapore
8205151,Vu Bao,An,Male,01/05/1995,50214,Singapore
6242363,Nguyen Lam,Hung,Male,26/05/1984,59645,Singapore
5591377,Nguyen Ngoc,Nam,Female,07/07/1994,35001,Singapore
4644218,Nguyen Thanh,Nguyen,Female,28/07/1976,50214,Singapore
4072974,Ho Huu,An,Male,16/03/1977,19810,Singapore
9483170,Phan Thanh,Huy,Female,01/11/1997,15144,Singapore
1177646,Nguyen Anh,Tuan,Female,07/08/1992,46324,Singapore
5410382,Truong Gia,Bao,Male,12/04/1968,43794,Singapore
7977785,Pham Phu,Binh,Female,16/09/1970,43794,Singapore
1825832,Ngo Tan,Dat,Male,14/10/1983,99717,Singapore
9318400,Vo Kien,Nam,Male,12/09/1978,35001,Singapore
6979188,Duong Ngoc Bao,Nhi,Female,07/08/1970,67518,Singapore
5041898,Nguyen Huu,Thang,Female,14/12/1978,35001,Singapore
3141482,Ho Quoc,Dat,Male,03/07/1984,50214,Singapore
7771292,Le Ngoc,Hieu,Male,11/02/1970,59645,Singapore
7157443,Phan Luc Minh,Huong,Female,26/07/1976,43794,Singapore
3296235,Nguyen Van,Phu,Female,13/07/1967,99717,Singapore
1497351,Le Thanh,Phuc,Female,05/09/1973,15144,Singapore
3181827,Khuong Trung,Tuan,Male,07/10/1983,19810,Singapore
4413107,Nguyen Vo Hoang,Phan,Male,31/08/1960,67518,Singapore
2901430,Ngo Thien,Anh,Male,11/03/1964,99717,Singapore
2220331,Vo Minh,Thuan,Female,17/09/1985,99717,Singapore
8220195,Hoang Phu,Loc,Female,11/08/1991,19810,Singapore
5444019,Le Huynh,Phat,Male,10/02/1990,35001,Singapore
2990956,Nguyen Thi Cam,Thuy,Male,26/06/2000,67518,Singapore
6633974,Vo Trong,Tinh,Female,06/07/1981,46324,Singapore
6210522,Vo Dat Cong,Khanh,Male,21/08/1993,99717,Singapore
3793378,Vo Thy,Truc,Female,21/04/1973,19810,Singapore
7293768,Truong Dinh,Van,Male,27/12/1962,99717,Singapore
5722720,Pham Duy,Khoa,Female,17/03/1969,35001,Singapore
9666288,Dinh Thi Ngoc,Phuong,Female,08/02/1978,46324,Singapore
7340006,Pham Khanh,Linh,Male,15/02/1972,43794,Singapore
